designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 5940953421304948864,5940953421304948864,250.3050668779178,-48.771877985472884,0.9726777237231957,0.27969974,3.4775782,-0.6013101277233269,0.32721943,-2.2486052988788297,0.2348279,455.2479364223963,0.91986835,19.041746,115.78122541200862,6.700532,20.179447,522.6876369765412,7.604693,17.95229,2.2271576
Gaia EDR3 5940953421306460672,5940953421306460672,250.31650813755095,-48.77708832961409,0.6958449667894143,0.4708092,1.4779766,0.673854067812218,0.58577037,-1.2341285125065784,0.3549068,251.7252348084329,0.8268429,19.68505,51.49119038451629,7.966866,21.05921,263.2771833872355,6.5279775,18.696863,2.3623466
Gaia EDR3 5940953421306461696,5940953421306461696,250.32212557086308,-48.773584403450826,1.2483326521180849,0.9256939,1.3485371,-15.956727940097895,1.1896728,-5.141020377383828,0.79560673,130.88713764990422,0.74857104,20.395124,30.419027305077503,12.373989,21.630678,142.5169730336911,11.735793,19.36323,2.2674484
Gaia EDR3 5940953421306464640,5940953421306464640,250.30820794098946,-48.777943601879976,1.464260337769847,1.1643343,1.2575945,-3.1448129587790414,1.473091,-6.324490678061348,0.97850424,140.192205145422,2.571611,20.320557,52.923146195876186,12.282462,21.029428,194.1215435015964,84.292656,19.027712,2.0017166
Gaia EDR3 5940953421306466048,5940953421306466048,250.30873291439983,-48.77676618219046,0.8687728644102223,0.6353388,1.3674167,-2.3422605847845683,0.8265571,-4.154829898386124,0.5467346,240.1515706395296,0.90491533,19.736153,47.435922837334466,5.101949,21.148273,279.2318350174724,7.7619047,18.632982,2.5152912
Gaia EDR3 5940953421306467968,5940953421306467968,250.31295406300947,-48.77252174018508,0.16452529250447276,0.716863,0.22950731,-2.6385429176181603,0.9978101,-7.490233670965527,0.5800654,212.57112098302878,0.9607643,19.868607,37.411606914009944,12.338599,21.406027,275.2956846606146,16.695967,18.648397,2.7576294
Gaia EDR3 5940953421306475136,5940953421306475136,250.30892986057248,-48.767542203492184,0.7433378819881556,0.38305387,1.940557,-2.280946438903518,0.43560007,-5.173541354207496,0.29047316,326.40702762355284,1.0873744,19.402967,64.1875998166241,4.5380273,20.819914,410.24606651748843,7.218796,18.215284,2.6046295
Gaia EDR3 5940953421345717632,5940953421345717632,250.32422676360815,-48.78429339197386,0.7787972821659999,0.093558535,8.324171,1.583654722331516,0.11136671,-4.189533165216642,0.07414252,2467.28952797587,10.106637,17.206816,,,,,,,
Gaia EDR3 5940953421345728128,5940953421345728128,250.32238598661021,-48.77688589886691,0.7268284583290231,0.09759752,7.4472027,1.2115681422852316,0.1150077,-4.119769202171251,0.07733325,2108.125375835581,1.8353245,17.377626,429.3680838009701,7.2656784,18.756468,2495.2345933438846,11.3731,16.255117,2.5013504
Gaia EDR3 5940953421345728256,5940953421345728256,250.31380195578296,-48.78124408559565,0.6813893249404915,0.09671403,7.0454035,1.2974667336424315,0.11465489,-3.9258271391722914,0.0807228,2657.442535621552,2.7523847,17.126207,528.750646319248,12.586679,18.530415,3271.2587129640224,12.932233,15.961108,2.5693064
Gaia EDR3 5940953421345734400,5940953421345734400,250.30654552692377,-48.7784955321582,1.4966930988126166,0.72289854,2.0704055,-4.616563851677963,0.8993174,-6.669353545599815,0.58531564,184.92398282003427,0.95221335,20.019884,31.8352644620875,16.399601,21.58127,361.1331680785008,11.892906,18.353727,3.2275429
