designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 2006217088396723328,2006217088396723328,334.7785433029749,56.11145147765901,0.41537242123441925,0.2885072,1.4397299,-2.0634150609206854,0.32729363,-1.7553605745393732,0.33026865,251.81641675184034,0.77674115,19.684656,74.73026445819431,5.595421,20.6548,267.16151941440353,4.6540523,18.680962,1.9738388
Gaia EDR3 2006217088400151296,2006217088400151296,334.7740811495064,56.11825386327921,0.47695551044492857,0.24606873,1.938302,-4.030075160212795,0.27965114,-3.2046603082006215,0.26630917,293.9109921845682,1.3878627,19.516827,64.25934154537423,6.98437,20.8187,360.64196170928295,9.088421,18.355206,2.4634953
Gaia EDR3 2006217088400151424,2006217088400151424,334.7765026583019,56.1097315320802,0.19400416899267858,0.37726608,0.514237,-3.601820417909771,0.43040743,-2.7607702841749973,0.44395894,197.2810133206574,0.7809391,19.949654,41.40355582431915,4.3096976,21.295948,254.59806328130563,6.481816,18.733257,2.5626907
Gaia EDR3 2006217092688979840,2006217092688979840,334.76596584184375,56.11071649735206,0.42590983188538634,0.5664529,0.75188917,-3.7715627011400263,0.59064066,-2.492826301361439,0.642013,136.18906755211594,0.75920105,20.35201,38.63947291345777,8.144822,21.370964,170.4198924927059,6.092386,19.169094,2.20187
Gaia EDR3 2006217092688981248,2006217092688981248,334.7759945279693,56.11456285609634,0.6687216425250273,0.35986555,1.8582542,-2.925205888184027,0.43537647,-1.928181256690197,0.3864611,208.18259319911317,1.7356472,19.891256,50.509660527574134,5.054726,21.080107,257.0743799527064,9.404294,18.722748,2.357359
Gaia EDR3 2006217092688982144,2006217092688982144,334.7754192553038,56.113584775360415,0.1421686566001339,0.17368378,0.81854886,-2.226767368377159,0.1912599,-2.092080346177027,0.19067322,537.4267577289761,0.9385623,18.861568,186.30939206934588,5.3088713,19.662956,502.8936888567283,5.5262356,17.994205,1.6687508
Gaia EDR3 2006217092688991616,2006217092688991616,334.7771085521888,56.10719402835839,0.13011892106603923,0.308166,0.42223647,-0.9093569289786534,0.37057766,-2.72740503707642,0.33933422,235.09120966766432,0.75331753,19.759275,65.35362804383533,4.6428204,20.800367,258.06594684280566,6.0900373,18.718569,2.0817986
Gaia EDR3 2006217092691049088,2006217092691049088,334.78419961715815,56.120783106098216,1.4516371544993025,0.64151025,2.2628431,-4.105547423685493,0.69317895,-1.5407129899977805,0.73474723,111.78981523169409,0.85206115,20.56636,26.0720155272196,5.6971197,21.798105,139.00117313197785,7.4831357,19.390348,2.4077568
Gaia EDR3 2006217092691053184,2006217092691053184,334.78843472007844,56.111261717781204,1.5968339693538085,1.0608574,1.5052296,-2.702027670165143,1.0210929,2.64743013196434,1.0219285,95.54920931222172,1.0460367,20.7368,45.47993110470633,7.62501,21.193993,116.38202836747995,11.469573,19.583181,1.6108112
Gaia EDR3 2006217092691534464,2006217092691534464,334.7824667643068,56.107618648664605,0.26102576814580253,1.0720376,0.24348564,-1.7177284193823483,1.4360943,-1.6836972960034027,1.2852781,85.48380663194817,0.8793917,20.857656,43.026913123103625,11.977621,21.254192,118.29908341772331,8.078963,19.565441,1.6887512
Gaia EDR3 2006217092703884928,2006217092703884928,334.78770465397423,56.11693030818264,0.6613719455963631,0.18435852,3.5874226,-5.536581947601083,0.19781396,-4.66990434142752,0.21287626,5666.920142196001,9.563211,16.303999,2558.370234733815,10.090879,16.818634,4899.80602742377,10.690621,15.522449,1.2961855
Gaia EDR3 2006217092703885952,2006217092703885952,334.7830229083944,56.1113850747676,0.6307381420283821,0.046350665,13.607964,-3.7769143596602386,0.051453322,-3.311911829819798,0.052385233,3630.40660977907,2.100971,16.78748,1555.550373496079,6.4837756,17.358831,2942.3820871181915,8.356995,16.076147,1.2826843
Gaia EDR3 2006217092708488320,2006217092708488320,334.7808013279728,56.11861352355466,0.3249503408666522,0.04810311,6.7552876,-3.157188775655331,0.05293827,-2.193616913278346,0.053683758,6799.040178180729,4.304306,16.106247,3194.8405657490057,8.917414,16.57742,5398.242035226459,7.823239,15.417265,1.1601543
Gaia EDR3 2006217122755575424,2006217122755575424,334.7948610154184,56.12043988713867,0.2294444839914806,0.28457248,0.8062778,-1.5159287484321193,0.26328748,-0.8115844906766106,0.45418152,536.5466304802725,1.3608067,18.863348,308.49022453148115,9.016933,19.115438,958.8382340950151,11.22073,17.293531,1.821907
Gaia EDR3 2006217122755576448,2006217122755576448,334.79019182877744,56.12157868271659,0.4592205078703939,0.13089713,3.5082548,2.0952991003588277,0.14131337,0.09337687308694186,0.14686541,734.5020558836123,0.98497957,18.522385,263.4435010022302,7.2779117,19.286823,675.508677337081,7.213627,17.673819,1.6130047
Gaia EDR3 2006217122755578752,2006217122755578752,334.7983344404613,56.12404868102856,0.2048092255478259,0.10684343,1.9169099,-4.531438564914533,0.12057479,-2.3658481109004694,0.116523586,1090.0846428948048,1.160176,18.093716,402.9241223799172,6.612152,18.825483,952.6901877527824,7.2909303,17.300516,1.5249672
Gaia EDR3 2006217122768150144,2006217122768150144,334.8077611163427,56.128732139646104,1.1273524315163042,0.11308074,9.969446,-3.848421126231859,0.12259181,-10.000085986923741,0.12866361,898.7304916957227,1.1780357,18.303293,260.4938464964442,4.8239803,19.29905,920.2841410668432,7.292828,17.33809,1.9609585
Gaia EDR3 2006217127048716160,2006217127048716160,334.8008236208984,56.13015303514232,0.39759409178431127,0.3378739,1.1767528,-3.188101783529481,0.39849144,-3.0493663546184884,0.34640083,221.24377096912465,1.4309621,19.82519,,,,,,,
Gaia EDR3 2006217127048721408,2006217127048721408,334.80790577143745,56.12974087581327,0.12211735884894806,0.35790643,0.3411991,-3.0574672159617657,0.41399804,-1.7166086646274317,0.38189062,233.80830899318315,0.9530211,19.765217,,,,,,,
Gaia EDR3 2006217127048727040,2006217127048727040,334.806608011794,56.124325661898744,0.6628832099977797,0.3082898,2.1501951,0.9383802431402285,0.3376271,3.579944256309378,0.34324574,226.43235588260342,0.75837564,19.80002,59.06229422271367,5.171365,20.910267,225.1308801587085,5.5089297,18.866808,2.043459
Gaia EDR3 2006217127048731264,2006217127048731264,334.80012875983607,56.117586764866836,0.429332813207705,0.3657298,1.1739072,-2.668788247281597,0.38938427,-1.7865462667588545,0.40840033,267.37864917098943,1.1112992,19.61955,,,,,,,
Gaia EDR3 2006217127049292416,2006217127049292416,334.789627375574,56.12697343401664,1.4428544549514029,0.5540799,2.604055,-3.1581344973451326,0.6471671,-3.0878611904385784,0.5781579,147.65727108449954,0.86703503,20.264229,50.34149135132232,5.423459,21.083727,149.79711701167957,14.284105,19.309137,1.7745895
Gaia EDR3 2006217127049297152,2006217127049297152,334.80251291481517,56.13094036345421,0.7111380712390893,0.5782542,1.2298018,-2.0566502930996533,0.642828,-1.0757942456977712,0.6740795,147.1815765963506,0.7731147,20.267733,48.04344874551028,5.050113,21.134457,167.70834446732104,7.6184382,19.186508,1.9479485
Gaia EDR3 2006217127049463552,2006217127049463552,334.79929876312417,56.125779678594185,0.3359088896775334,0.43130493,0.7788199,-3.2586371974718107,0.477173,-1.8707003921214858,0.45756805,180.78434705869068,0.7343785,20.044464,54.06574141099013,4.7035327,21.006237,184.62048713200178,5.9839163,19.082195,1.9240417
Gaia EDR3 2006217127049464832,2006217127049464832,334.802771427374,56.11858327545327,0.5039697823887107,0.81487733,0.6184609,-1.9188988756727061,0.74211466,1.627879688716359,1.1051954,113.58132025896886,0.8732078,20.549099,48.68741918120976,7.2136936,21.12,116.484266819866,6.574995,19.582228,1.5377731
Gaia EDR3 2006217127050790272,2006217127050790272,334.78672376552197,56.12167798258426,0.09801184268829918,0.7490499,0.13084821,-1.063338429855476,0.709404,-2.285984315960715,0.80229056,116.21182997135337,0.8277409,20.52424,30.212336427299615,5.6642528,21.63808,144.62819477349325,8.591538,19.347263,2.2908173
Gaia EDR3 2006217127050805632,2006217127050805632,334.80365701269704,56.13389803692058,1.096467873832465,0.93213665,1.1762952,-2.648436346645733,0.93282133,0.9315518562596374,1.3357219,98.25206551606638,1.8719987,20.706512,24.90634898322123,6.4954543,21.847767,129.8004553222015,10.390425,19.464705,2.3830624
